District,Region,District_code,VDC_name,VDC_code
Taplejung,Eastern Region,1,Ambegudin,1001
Taplejung,Eastern Region,1,Ankhop,1002
Taplejung,Eastern Region,1,Chaksibote,1003
Taplejung,Eastern Region,1,Change,1004
Taplejung,Eastern Region,1,Dhungesaghu,1005
Taplejung,Eastern Region,1,Dokhu,1006
Taplejung,Eastern Region,1,Dummrise,1007
Taplejung,Eastern Region,1,Ekhabu,1008
Taplejung,Eastern Region,1,Hangdeva,1009
Taplejung,Eastern Region,1,Hangpang,1010
Taplejung,Eastern Region,1,Kalikhola,1011
Taplejung,Eastern Region,1,Khamlung,1012
Taplejung,Eastern Region,1,Khejenim,1013
Taplejung,Eastern Region,1,Khewang,1014
Taplejung,Eastern Region,1,Khokling,1015
Taplejung,Eastern Region,1,Lelep,1016
Taplejung,Eastern Region,1,Limbudin,1017
Taplejung,Eastern Region,1,Lingtep,1018
Taplejung,Eastern Region,1,Linkhim,1019
Taplejung,Eastern Region,1,Liwang,1020
Taplejung,Eastern Region,1,Mamankhe,1021
Taplejung,Eastern Region,1,Mehele,1022
Taplejung,Eastern Region,1,Nalbu,1023
Taplejung,Eastern Region,1,Nankholyang,1024
Taplejung,Eastern Region,1,Nidhuradin,1025
Taplejung,Eastern Region,1,Olangchunggola,1026
Taplejung,Eastern Region,1,Papung,1027
Taplejung,Eastern Region,1,Pedang,1028
Taplejung,Eastern Region,1,Phakumba,1029
Taplejung,Eastern Region,1,Phawakhola,1030
Taplejung,Eastern Region,1,Phulbari,1031
Taplejung,Eastern Region,1,Phungling,1032
Taplejung,Eastern Region,1,Phurumbu,1033
Taplejung,Eastern Region,1,Sadewa,1034
Taplejung,Eastern Region,1,Sangu,1035
Taplejung,Eastern Region,1,Santhakra,1036
Taplejung,Eastern Region,1,Sanwa,1037
Taplejung,Eastern Region,1,Sawadin,1038
Taplejung,Eastern Region,1,Sawalakhu,1039
Taplejung,Eastern Region,1,Sikaicha,1040
Taplejung,Eastern Region,1,Sinam,1041
Taplejung,Eastern Region,1,Surumakhim,1042
Taplejung,Eastern Region,1,Tapethok,1043
Taplejung,Eastern Region,1,Tellok,1044
Taplejung,Eastern Region,1,Thechambu,1045
Taplejung,Eastern Region,1,Thinglabu,1046
Taplejung,Eastern Region,1,Thukima,1047
Taplejung,Eastern Region,1,Thumbedin,1048
Taplejung,Eastern Region,1,Tiringe,1049
Taplejung,Eastern Region,1,Yamfudin,1050
Panchthar,Eastern Region,2,Aangna,2001
Panchthar,Eastern Region,2,Aangsarang,2002
Panchthar,Eastern Region,2,Aarubote,2003
Panchthar,Eastern Region,2,Amarpur,2004
Panchthar,Eastern Region,2,Bharapa,2005
Panchthar,Eastern Region,2,Chilingdin,2006
Panchthar,Eastern Region,2,Chokmagu,2007
Panchthar,Eastern Region,2,Chyangthapu,2008
Panchthar,Eastern Region,2,Durdimba,2009
Panchthar,Eastern Region,2,Ekteen,2010
Panchthar,Eastern Region,2,Embung,2011
Panchthar,Eastern Region,2,Falaicha,2012
Panchthar,Eastern Region,2,Hangum,2013
Panchthar,Eastern Region,2,Kurumba,2014
Panchthar,Eastern Region,2,Limba,2015
Panchthar,Eastern Region,2,Lungrupa,2016
Panchthar,Eastern Region,2,Luwamfu,2017
Panchthar,Eastern Region,2,Mangjabung,2018
Panchthar,Eastern Region,2,Mauwa,2019
Panchthar,Eastern Region,2,Memeng,2020
Panchthar,Eastern Region,2,Nagi,2021
Panchthar,Eastern Region,2,Nangeen,2022
Panchthar,Eastern Region,2,Nawamidanda,2023
Panchthar,Eastern Region,2,Olane,2024
Panchthar,Eastern Region,2,Oyam,2025
Panchthar,Eastern Region,2,Panchami,2026
Panchthar,Eastern Region,2,Pauwasartap,2027
Panchthar,Eastern Region,2,Phaktep,2028
Panchthar,Eastern Region,2,Phidim,2029
Panchthar,Eastern Region,2,Prangbung,2030
Panchthar,Eastern Region,2,Rabi,2031
Panchthar,Eastern Region,2,Ranigaun,2032
Panchthar,Eastern Region,2,Ranitar,2033
Panchthar,Eastern Region,2,Sarangdanda,2034
Panchthar,Eastern Region,2,Sidin,2035
Panchthar,Eastern Region,2,Siwa,2036
Panchthar,Eastern Region,2,Sumang,2037
Panchthar,Eastern Region,2,Syangrumba,2038
Panchthar,Eastern Region,2,Tharpu,2039
Panchthar,Eastern Region,2,Yanganam,2040
Panchthar,Eastern Region,2,Yasok,2041
Ilam,Eastern Region,3,Amchok,3001
Ilam,Eastern Region,3,Bajho,3002
Ilam,Eastern Region,3,Barbote,3003
Ilam,Eastern Region,3,Chameta,3004
Ilam,Eastern Region,3,Chisapani,3005
Ilam,Eastern Region,3,Chulachuli,3006
Ilam,Eastern Region,3,Danabari,3007
Ilam,Eastern Region,3,Dhuseni,3008
Ilam,Eastern Region,3,Ebhang,3009
Ilam,Eastern Region,3,Ektappa,3010
Ilam,Eastern Region,3,Erautar,3011
Ilam,Eastern Region,3,Gajurmukhi,3012
Ilam,Eastern Region,3,Goduk,3013
Ilam,Eastern Region,3,Gorkhe,3014
Ilam,Eastern Region,3,Ilam Municipality,3015
Ilam,Eastern Region,3,Jamuna,3016
Ilam,Eastern Region,3,Jirmale,3017
Ilam,Eastern Region,3,Jitpur,3018
Ilam,Eastern Region,3,Jogmai,3019
Ilam,Eastern Region,3,Kanyam,3020
Ilam,Eastern Region,3,Kolbung,3021
Ilam,Eastern Region,3,Laxmipur,3022
Ilam,Eastern Region,3,Lumde,3023
Ilam,Eastern Region,3,Mabu,3024
Ilam,Eastern Region,3,Mahamai,3025
Ilam,Eastern Region,3,Maimajhuwa,3026
Ilam,Eastern Region,3,Maipokhari,3027
Ilam,Eastern Region,3,Mangalbare,3028
Ilam,Eastern Region,3,Namsaling,3029
Ilam,Eastern Region,3,Nayabazar,3030
Ilam,Eastern Region,3,Panchakanya,3031
Ilam,Eastern Region,3,Pasupatinagar,3032
Ilam,Eastern Region,3,Phakphok,3033
Ilam,Eastern Region,3,Phikalbazar,3034
Ilam,Eastern Region,3,Phuyatappa,3035
Ilam,Eastern Region,3,Puwamajhuwa,3036
Ilam,Eastern Region,3,Pyang,3037
Ilam,Eastern Region,3,Sakfara,3038
Ilam,Eastern Region,3,Sakhejung,3039
Ilam,Eastern Region,3,Samalbung,3040
Ilam,Eastern Region,3,Sangrumba,3041
Ilam,Eastern Region,3,Shantidanda,3042
Ilam,Eastern Region,3,Shantipur,3043
Ilam,Eastern Region,3,Shreeantu,3044
Ilam,Eastern Region,3,Siddhithumka,3045
Ilam,Eastern Region,3,Sopak,3046
Ilam,Eastern Region,3,Soyang,3047
Ilam,Eastern Region,3,Sulubung,3048
Ilam,Eastern Region,3,Sumbek,3049
Jhapa,Eastern Region,4,Anarmani,4001
Jhapa,Eastern Region,4,Arjundhara,4002
Jhapa,Eastern Region,4,Bahundangi,4003
Jhapa,Eastern Region,4,Baigundhara,4004
Jhapa,Eastern Region,4,Balubari,4005
Jhapa,Eastern Region,4,Baniyani,4006
Jhapa,Eastern Region,4,Bhadrapur Municipality,4007
Jhapa,Eastern Region,4,Budhabare,4008
Jhapa,Eastern Region,4,Chakchaki,4009
Jhapa,Eastern Region,4,Chandragadhi,4010
Jhapa,Eastern Region,4,Charpane,4011
Jhapa,Eastern Region,4,Damak Municipality,4012
Jhapa,Eastern Region,4,Dangibari,4013
Jhapa,Eastern Region,4,Dhaijan,4014
Jhapa,Eastern Region,4,Dharampur,4015
Jhapa,Eastern Region,4,Duwagadhi,4016
Jhapa,Eastern Region,4,Garamani,4017
Jhapa,Eastern Region,4,Gauradaha,4018
Jhapa,Eastern Region,4,Gauriganj,4019
Jhapa,Eastern Region,4,Ghailadubba,4020
Jhapa,Eastern Region,4,Gherabari,4021
Jhapa,Eastern Region,4,Goldhap,4022
Jhapa,Eastern Region,4,Haldibari,4023
Jhapa,Eastern Region,4,Jalthal,4024
Jhapa,Eastern Region,4,Juropani,4025
Jhapa,Eastern Region,4,Jyamirgadhi,4026
