District,Zone,Geographical Region,Development Region,Types,Area in ha
Taplejung,Mechi,Mountain,Eastern,"Total
Forest
Area",112256
Taplejung,Mechi,Mountain,Eastern,Shrub,56362
Taplejung,Mechi,Mountain,Eastern,"Agricultural
land/ grass",70946
Taplejung,Mechi,Mountain,Eastern,"Water
bodies",405
Taplejung,Mechi,Mountain,Eastern,"Barren
land",37757
Taplejung,Mechi,Mountain,Eastern,Snow,60115
Taplejung,Mechi,Mountain,Eastern,Others,27496
Panchthar,Mechi,Hill,Eastern,"Total
Forest
Area",53182
Panchthar,Mechi,Hill,Eastern,Shrub,14369
Panchthar,Mechi,Hill,Eastern,"Agricultural
land/ grass",54078
Panchthar,Mechi,Hill,Eastern,"Water
bodies",181
Panchthar,Mechi,Hill,Eastern,"Barren
land",326
Panchthar,Mechi,Hill,Eastern,Snow,29
Panchthar,Mechi,Hill,Eastern,Others,0
Ilam,Mechi,Hill,Eastern,"Total
Forest
Area",72214
Ilam,Mechi,Hill,Eastern,Shrub,31649
Ilam,Mechi,Hill,Eastern,"Agricultural
land/ grass",64595
Ilam,Mechi,Hill,Eastern,"Water
bodies",236
Ilam,Mechi,Hill,Eastern,"Barren
land",2873
Ilam,Mechi,Hill,Eastern,Snow,0
Ilam,Mechi,Hill,Eastern,Others,0
Jhapa,Mechi,Terai,Eastern,"Total
Forest
Area",13239
Jhapa,Mechi,Terai,Eastern,Shrub,1863
Jhapa,Mechi,Terai,Eastern,"Agricultural
land/ grass",141795
Jhapa,Mechi,Terai,Eastern,"Water
bodies",778
Jhapa,Mechi,Terai,Eastern,"Barren
land",6517
Jhapa,Mechi,Terai,Eastern,Snow,0
Jhapa,Mechi,Terai,Eastern,Others,0
Morang,Kosi,Terai,Eastern,"Total
Forest
Area",43814
Morang,Kosi,Terai,Eastern,Shrub,6040
Morang,Kosi,Terai,Eastern,"Agricultural
land/ grass",126955
Morang,Kosi,Terai,Eastern,"Water
bodies",1374
Morang,Kosi,Terai,Eastern,"Barren
land",4996
Morang,Kosi,Terai,Eastern,Snow,0
Morang,Kosi,Terai,Eastern,Others,0
Sunsari,Kosi,Terai,Eastern,"Total
Forest
Area",21304
Sunsari,Kosi,Terai,Eastern,Shrub,1508
Sunsari,Kosi,Terai,Eastern,"Agricultural
land/ grass",91799
Sunsari,Kosi,Terai,Eastern,"Water
bodies",6262
Sunsari,Kosi,Terai,Eastern,"Barren
land",6861
Sunsari,Kosi,Terai,Eastern,Snow,0
Sunsari,Kosi,Terai,Eastern,Others,0
Dhankuta,Kosi,Hill,Eastern,"Total
Forest
Area",26324
Dhankuta,Kosi,Hill,Eastern,Shrub,14598
Dhankuta,Kosi,Hill,Eastern,"Agricultural
land/ grass",47350
Dhankuta,Kosi,Hill,Eastern,"Water
bodies",549
Dhankuta,Kosi,Hill,Eastern,"Barren
land",982
Dhankuta,Kosi,Hill,Eastern,Snow,0
Dhankuta,Kosi,Hill,Eastern,Others,0
Terhathum,Kosi,Hill,Eastern,"Total
Forest
Area",20033
Terhathum,Kosi,Hill,Eastern,Shrub,12489
Terhathum,Kosi,Hill,Eastern,"Agricultural
land/ grass",34917
Terhathum,Kosi,Hill,Eastern,"Water
bodies",129
Terhathum,Kosi,Hill,Eastern,"Barren
land",494
Terhathum,Kosi,Hill,Eastern,Snow,0
Terhathum,Kosi,Hill,Eastern,Others,0
Sankhuwasabha,Kosi,Mountain,Eastern,"Total
Forest
Area",159872
Sankhuwasabha,Kosi,Mountain,Eastern,Shrub,48476
Sankhuwasabha,Kosi,Mountain,Eastern,"Agricultural
land/ grass",71335
Sankhuwasabha,Kosi,Mountain,Eastern,"Water
bodies",975
Sankhuwasabha,Kosi,Mountain,Eastern,"Barren
land",23723
Sankhuwasabha,Kosi,Mountain,Eastern,Snow,40825
Sankhuwasabha,Kosi,Mountain,Eastern,Others,0
Bhojpur,Kosi,Hill,Eastern,"Total
Forest
Area",61448
Bhojpur,Kosi,Hill,Eastern,Shrub,22207
Bhojpur,Kosi,Hill,Eastern,"Agricultural
land/ grass",66525
Bhojpur,Kosi,Hill,Eastern,"Water
bodies",552
Bhojpur,Kosi,Hill,Eastern,"Barren
land",1284
Bhojpur,Kosi,Hill,Eastern,Snow,0
Bhojpur,Kosi,Hill,Eastern,Others,0
Solukhumbu,Sagarmatha,Mountain,Eastern,"Total
Forest
Area",86002
Solukhumbu,Sagarmatha,Mountain,Eastern,Shrub,49628
Solukhumbu,Sagarmatha,Mountain,Eastern,"Agricultural
land/ grass",67424
Solukhumbu,Sagarmatha,Mountain,Eastern,"Water
bodies",571
Solukhumbu,Sagarmatha,Mountain,Eastern,"Barren
land",59670
Solukhumbu,Sagarmatha,Mountain,Eastern,Snow,50037
Solukhumbu,Sagarmatha,Mountain,Eastern,Others,19509
Okhaldhunga,Sagarmatha,Hill,Eastern,"Total
Forest
Area",32363
Okhaldhunga,Sagarmatha,Hill,Eastern,Shrub,15592
Okhaldhunga,Sagarmatha,Hill,Eastern,"Agricultural
land/ grass",58858
Okhaldhunga,Sagarmatha,Hill,Eastern,"Water
bodies",352
Okhaldhunga,Sagarmatha,Hill,Eastern,"Barren
land",729
Okhaldhunga,Sagarmatha,Hill,Eastern,Snow,0
Okhaldhunga,Sagarmatha,Hill,Eastern,Others,0
Khotang,Sagarmatha,Hill,Eastern,"Total
Forest
Area",61039
Khotang,Sagarmatha,Hill,Eastern,Shrub,22571
Khotang,Sagarmatha,Hill,Eastern,"Agricultural
land/ grass",74328
Khotang,Sagarmatha,Hill,Eastern,"Water
bodies",931
Khotang,Sagarmatha,Hill,Eastern,"Barren
land",2020
Khotang,Sagarmatha,Hill,Eastern,Snow,0
Khotang,Sagarmatha,Hill,Eastern,Others,0
Udayapur,Sagarmatha,Hill,Eastern,"Total
Forest
Area",109404
Udayapur,Sagarmatha,Hill,Eastern,Shrub,15766
